tzid,windowsName,windowsId
America/Argentina/San_Luis,City of Buenos Aires,Argentina Standard Time
America/Argentina/Tucuman,City of Buenos Aires,Argentina Standard Time
America/Argentina/Ushuaia,City of Buenos Aires,Argentina Standard Time
Etc/UCT,Coordinated Universal Time,UTC
America/Argentina/ComodRivadavia,City of Buenos Aires,Argentina Standard Time
America/Catamarca,City of Buenos Aires,Argentina Standard Time
America/Cordoba,City of Buenos Aires,Argentina Standard Time
America/Jujuy,City of Buenos Aires,Argentina Standard Time
America/Mendoza,City of Buenos Aires,Argentina Standard Time
America/Rosario,City of Buenos Aires,Argentina Standard Time
Asia/Gaza,"Gaza, Hebron",West Bank Standard Time
Asia/Pontianak,"Bangkok, Hanoi, Jakarta",SE Asia Standard Time
America/Indiana/Tell_City,Central Time (US & Canada),Central Standard Time
Asia/Kuala_Lumpur,"Kuala Lumpur, Singapore",Singapore Standard Time
America/Campo_Grande,Cuiaba,Central Brazilian Standard Time
America/Fort_Nelson,Arizona,US Mountain Standard Time
America/Bahia_Banderas,"Guadalajara, Mexico City, Monterrey",Central Standard Time (Mexico)
America/Juneau,Alaska,Alaskan Standard Time
America/Indiana/Vincennes,Eastern Time (US & Canada),Eastern Standard Time
America/Inuvik,Mountain Time (US & Canada),Mountain Standard Time
Europe/Kirov,"Moscow, St. Petersburg, Volgograd",Russian Standard Time
America/Dawson,Pacific Time (US & Canada),Pacific Standard Time
Europe/Uzhgorod,"Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",FLE Standard Time
America/Indiana/Petersburg,Eastern Time (US & Canada),Eastern Standard Time
America/North_Dakota/New_Salem,Central Time (US & Canada),Central Standard Time
America/Creston,Arizona,US Mountain Standard Time
America/Cambridge_Bay,Mountain Time (US & Canada),Mountain Standard Time
America/Glace_Bay,Atlantic Time (Canada),Atlantic Standard Time
America/Merida,"Guadalajara, Mexico City, Monterrey",Central Standard Time (Mexico)
Asia/Oral,"Ashgabat, Tashkent",West Asia Standard Time
America/Indiana/Winamac,Eastern Time (US & Canada),Eastern Standard Time
Asia/Khandyga,Yakutsk,Yakutsk Standard Time
America/Yellowknife,Mountain Time (US & Canada),Mountain Standard Time
America/Pangnirtung,Eastern Time (US & Canada),Eastern Standard Time
Australia/Broken_Hill,Adelaide,Cen. Australia Standard Time
America/Manaus,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/Recife,"Cayenne, Fortaleza",SA Eastern Standard Time
America/Indiana/Knox,Central Time (US & Canada),Central Standard Time
Europe/Simferopol,"Moscow, St. Petersburg, Volgograd",Russian Standard Time
Pacific/Kosrae,"Solomon Is., New Caledonia",Central Pacific Standard Time
America/Whitehorse,Pacific Time (US & Canada),Pacific Standard Time
America/Rio_Branco,"Bogota, Lima, Quito, Rio Branco",SA Pacific Standard Time
America/Edmonton,Mountain Time (US & Canada),Mountain Standard Time
America/Indiana/Marengo,Indiana (East),US Eastern Standard Time
Asia/Jakarta,"Bangkok, Hanoi, Jakarta",SE Asia Standard Time
America/Belem,"Cayenne, Fortaleza",SA Eastern Standard Time
America/Nipigon,Eastern Time (US & Canada),Eastern Standard Time
Africa/Ceuta,"Brussels, Copenhagen, Madrid, Paris",Romance Standard Time
America/Sitka,Alaska,Alaskan Standard Time
Europe/Madrid,"Brussels, Copenhagen, Madrid, Paris",Romance Standard Time
America/Boa_Vista,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
Asia/Anadyr,"Anadyr, Petropavlovsk-Kamchatsky",Russia Time Zone 11
America/Mazatlan,"Chihuahua, La Paz, Mazatlan",Mountain Standard Time (Mexico)
America/Santarem,"Cayenne, Fortaleza",SA Eastern Standard Time
America/Rankin_Inlet,Central Time (US & Canada),Central Standard Time
Atlantic/Madeira,"Dublin, Edinburgh, Lisbon, London",GMT Standard Time
Asia/Ust-Nera,Vladivostok,Vladivostok Standard Time
Asia/Samarkand,"Ashgabat, Tashkent",West Asia Standard Time
America/Fortaleza,"Cayenne, Fortaleza",SA Eastern Standard Time
Asia/Choibalsan,Ulaanbaatar,Ulaanbaatar Standard Time
Australia/Melbourne,"Canberra, Melbourne, Sydney",AUS Eastern Standard Time
America/North_Dakota/Beulah,Central Time (US & Canada),Central Standard Time
Asia/Qyzylorda,Astana,Central Asia Standard Time
America/Rainy_River,Central Time (US & Canada),Central Standard Time
America/Porto_Velho,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
Europe/Zaporozhye,"Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",FLE Standard Time
Australia/Currie,Hobart,Tasmania Standard Time
America/Dawson_Creek,Arizona,US Mountain Standard Time
America/Monterrey,"Guadalajara, Mexico City, Monterrey",Central Standard Time (Mexico)
America/Boise,Mountain Time (US & Canada),Mountain Standard Time
America/Nome,Alaska,Alaskan Standard Time
Asia/Novokuznetsk,Krasnoyarsk,North Asia Standard Time
Asia/Aqtau,"Ashgabat, Tashkent",West Asia Standard Time
America/Maceio,"Cayenne, Fortaleza",SA Eastern Standard Time
Australia/Lindeman,Brisbane,E. Australia Standard Time
America/Goose_Bay,Atlantic Time (Canada),Atlantic Standard Time
America/Indiana/Vevay,Indiana (East),US Eastern Standard Time
Asia/Kuching,"Kuala Lumpur, Singapore",Singapore Standard Time
America/Menominee,Central Time (US & Canada),Central Standard Time
America/Resolute,Central Time (US & Canada),Central Standard Time
America/Vancouver,Pacific Time (US & Canada),Pacific Standard Time
Pacific/Kwajalein,Coordinated Universal Time+12,UTC+12
America/Toronto,Eastern Time (US & Canada),Eastern Standard Time
America/Winnipeg,Central Time (US & Canada),Central Standard Time
America/Detroit,Eastern Time (US & Canada),Eastern Standard Time
America/Thunder_Bay,Eastern Time (US & Canada),Eastern Standard Time
America/Kentucky/Monticello,Eastern Time (US & Canada),Eastern Standard Time
America/Metlakatla,Alaska,Alaskan Standard Time
Asia/Aqtobe,"Ashgabat, Tashkent",West Asia Standard Time
America/North_Dakota/Center,Central Time (US & Canada),Central Standard Time
America/Moncton,Atlantic Time (Canada),Atlantic Standard Time
America/Yakutat,Alaska,Alaskan Standard Time
America/Montreal,Eastern Time (US & Canada),Eastern Standard Time
America/Swift_Current,Saskatchewan,Canada Central Standard Time
Europe/Ulyanovsk,"Astrakhan, Ulyanovsk",Astrakhan Standard Time
Europe/Volgograd,"Moscow, St. Petersburg, Volgograd",Russian Standard Time
America/Eirunepe,"Bogota, Lima, Quito, Rio Branco",SA Pacific Standard Time
Pacific/Majuro,Coordinated Universal Time+12,UTC+12
America/Iqaluit,Eastern Time (US & Canada),Eastern Standard Time
America/Louisville,Eastern Time (US & Canada),Eastern Standard Time
Asia/Omsk,Novosibirsk,N. Central Asia Standard Time
Pacific/Ponape,"Solomon Is., New Caledonia",Central Pacific Standard Time
